,Unnamed: 0,ann_id,ann_file_id,ann_file,argQ_id,claim_id,claim_text,claim_label,claim_first_carach_pos,claim_last_carach_pos,relation_ids,relation_types,premise_ids,premise_labels,premise_first_carach_pos,premise_last_carach_pos,premise_texts,SPECIFIC,PERSUASIVE,STRONG,OBJECTIVE,TEMPORALHISTORY,global_arg_id,valid,nbr_ATTACK,nbr_SUPPORT,nbr_PREMISE_Fact,nbr_PREMISE_Hypothesis,nbr_PREMISE_Other,nbr_PREMISE_RealExample,nbr_PREMISE_Statistic,nbr_tokens_per_premises_list,nbr_sentences_per_premises_list,nbr_sentences_per_claim,nbr_tokens_per_claim,year,quarter,nbr_premises,company_name,nbr_sentences_per_argument,nbr_tokens_per_argument,sum_nbr_tokens_per_premises_list,sum_nbr_sentences_per_premises_list,nbr_CLAIM-Opinion(view),nbr_CLAIM-Fact,nbr_CLAIM-Value,nbr_CLAIM-Other,nbr_CLAIM-Policy
10,10,7,AMZN_Q2_2018_18392_7,AMZN_Q2_2018_18392,ArgQ2,9RYqNe0p2T,"The operating margin itself will fluctuate quarter-to-quarter, a very strong performance this quarter.",CLAIM-Fact,1719,1821,['R7'],['SUPPORT'],['_i5ijObQj5'],['PREMISE-Fact'],['1822'],['1976'],"[""Obviously, part of that was in the capital leases being flat year-over-year, and the team's ability to really run the data centers at a higher efficiency.""]",1,1,1,1,3,AMZN_Q2_2018_18392_ArgQ2,1.0,0,1,1,0,0,0,0,[30],[1],1,15,2018,Q2,1,AMZN,2,45,30,1,0,1,0,0,0
11,11,9,AAPL_Q3_2015_17564_9,AAPL_Q3_2015_17564,ArgQ0,xqsgiW9K93,"And so we can do more than one thing, and so we have other things that we're working on as well.",CLAIM-Opinion(view),1227,1323,['R0'],['SUPPORT'],['cBCufBWFi8'],['PREMISE-Fact'],['1124'],['1226'],"[""In terms of the other things that we're doing, we have some great capability and great teams in Apple.""]",1,1,0,0,-1,AAPL_Q3_2015_17564_ArgQ0,1.0,0,1,1,0,0,0,0,[22],[1],1,24,2015,Q3,1,AAPL,2,46,22,1,1,0,0,0,0
12,12,9,AAPL_Q3_2015_17564_9,AAPL_Q3_2015_17564,ArgQ1,JSSLzAwc0u,I am still bullish on iPad.,CLAIM-Opinion(view),1800,1827,"['R1', 'R2']","['SUPPORT', 'SUPPORT']","['bcFbIjl3RM', 'BB4kplMTwW']","['PREMISE-Fact', 'PREMISE-Fact']","['1828', '1968']","['1967', '2005']","[""We've gotten with iOS 9, there's some incredible productivity enhancements coming in with split view and slide over and picture-in-picture."", 'These things are incredible features.']",1,1,1,1,-1,AAPL_Q3_2015_17564_ArgQ1,1.0,0,2,2,0,0,0,0,"[24, 6]","[1, 1]",1,7,2015,Q3,2,AAPL,3,37,30,2,1,0,0,0,0
13,13,9,AAPL_Q3_2015_17564_9,AAPL_Q3_2015_17564,ArgQ2,rJB_XxDrmX,I think and I believe that the iPad consumer upgrade cycle will eventually occur,CLAIM-Opinion(view),2135,2215,"['R3', 'R4', 'R5', 'R6', 'R7']","['SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT']","['xAWESekhb0', 'nI8ZUsiwf5', 'g0Af6BRfbV', 'dC849Iq9S4', 'KAhHmBzwG9']","['PREMISE-Fact', 'PREMISE-Statistic', 'PREMISE-Other', 'PREMISE-Fact', 'PREMISE-Fact']","['2216', '2299', '2379', '2419', '2473']","['2298', '2378', '2417', '2472', '2498']","['because as we look at the usage statistics on iPad, it remains unbelievably great.', ""I mean, the next closest usage of the next competitor, we're six times greater."", 'And so these are extraordinary numbers', ""It's not like people have forgotten iPad or anything."", ""It's a fantastic product.""]",1,2,1,1,-1,AAPL_Q3_2015_17564_ArgQ2,1.0,0,5,3,0,1,0,1,"[16, 18, 6, 11, 6]","[1, 1, 1, 1, 1]",1,14,2015,Q3,5,AAPL,6,71,57,5,1,0,0,0,0
14,14,9,AAPL_Q3_2015_17564_9,AAPL_Q3_2015_17564,ArgQ3,wYwniz7ISn,"And so I look around, I see opportunity left and right.",CLAIM-Opinion(view),2754,2809,['R8'],['SUPPORT'],['i_KRLQ_2Rz'],['PREMISE-Fact'],['2525'],['2752'],"[""And as I look geographically, where we've been doing really good in the emerging markets, our share is still not high in any of them, and so there's a lot of headroom there as well, as there is in most developed markets as well""]",1,1,1,1,-1,AAPL_Q3_2015_17564_ArgQ3,1.0,0,1,1,0,0,0,0,[50],[1],1,13,2015,Q3,1,AAPL,2,63,50,1,1,0,0,0,0
15,15,7,MSFT_Q3_2019_17949_7,MSFT_Q3_2019_17949,ArgQ0,O7oSvBbhjT,"I mean, on the first question Ross as far as our premium services, just even on the application infrastructure side, for example, in compute, there is increasing need for things like IoT services.",CLAIM-Fact,1067,1263,"['R0', 'R1']","['SUPPORT', 'SUPPORT']","['b9wOICyjTY', 'qzaWuYSrpC']","['PREMISE-Fact', 'PREMISE-RealExample']","['1264', '1426']","['1425', '1639']","['Essentially, there is a new business application like set of services that are getting developed to help people manage their complex IoT application development.', 'IoT Central is a good example of that when you have many, many connected devices, you need a control plane for many of those devices, so that you contain the complexity of your app deployment, security management.']",2,2,2,1,-1,MSFT_Q3_2019_17949_ArgQ0,1.0,0,2,1,0,0,1,0,"[26, 42]","[1, 1]",1,39,2019,Q3,2,MSFT,3,107,68,2,0,1,0,0,0
16,16,7,MSFT_Q3_2019_17949_7,MSFT_Q3_2019_17949,ArgQ1,V9J2u5NMgt,"And the sophistication of the data aid is growing exponentially, both in terms of the needs of the databases required, the processing that is required close to data.",CLAIM-Fact,1693,1858,"['R2', 'R3']","['SUPPORT', 'SUPPORT']","['tZBNgvKpic', 'hQde77i_gc']","['PREMISE-RealExample', 'PREMISE-Fact']","['1859', '2024']","['2023', '2244']","[""So that's another place where something like Cosmos DB which is very unique in capability in the marketplace is definitely another service that's got real traction."", 'Even data warehousing, the scale at which this is another market which we never participated in, in the past, whereas now we are one of the most competitive products when it comes to benchmarking around data warehousing.']",2,2,2,1,-1,MSFT_Q3_2019_17949_ArgQ1,1.0,0,2,1,0,0,1,0,"[29, 41]","[1, 1]",1,31,2019,Q3,2,MSFT,3,101,70,2,0,1,0,0,0
17,17,7,FB_Q2_2017_17634_7,FB_Q2_2017_17634,ArgQ0,KHOZQhw7-W,"In terms of the supply side, obviously News Feed is incredibly valuable",CLAIM-Fact,1749,1820,"['R0', 'R1']","['SUPPORT', 'SUPPORT']","['gpYyFPVEJn', '5JZpjm7ZBr']","['PREMISE-Fact', 'PREMISE-Fact']","['1821', '1865']","['1864', '1968']","[""because it's very present for the consumer."", ""And we've improved the quality of the ads in News Feed, and that's another driver from the supply side.""]",1,1,1,1,-1,FB_Q2_2017_17634_ArgQ0,1.0,0,2,2,0,0,0,0,"[9, 23]","[1, 1]",1,13,2017,Q2,2,FB,3,45,32,2,0,1,0,0,0
18,18,7,FB_Q2_2017_17634_7,FB_Q2_2017_17634,ArgQ1,Lygne2qJlz,"From a product perspective, as we get things like Dynamic Product Ads rolled out, those are incredibly valuable.",CLAIM-Fact,924,1036,"['R2', 'R3']","['SUPPORT', 'SUPPORT']","['6AXF6LQX8r', 'GKPUhbV6qf']","['PREMISE-Fact', 'PREMISE-Fact']","['1037', '1343']","['1300', '1579']","[""As we connect more advertisers with those and bring more data into the system and we can get more of the impressions that are very highly targeted and very relevant, then we'll be rewarded with better pricing as we can expand that out into things like Lookalikes."", ""That basically takes some of that really good targeting and extends that into a much bigger audience, and then we can get more impressions at better value because we're really connecting that with end results that the advertisers value.""]",1,2,2,1,-1,FB_Q2_2017_17634_ArgQ1,1.0,0,2,2,0,0,0,0,"[50, 42]","[1, 1]",1,21,2017,Q2,2,FB,3,113,92,2,0,1,0,0,0
19,19,6,MSFT_Q3_2017_17863_6,MSFT_Q3_2017_17863,ArgQ0,J7qTqgbdxK,So that's usually the way we make the atomic parts available as well as these essentially SaaS services or PaaS services.,CLAIM-Fact,1388,1509,"['R0', 'R1', 'R2', 'R3', 'R4', 'R5']","['SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT']","['ulNHxOE7v2', 'UY1s-c4798', 'O0oq7iz96f', 'JAzHGjyjT_', 'tjE-SN1kVO', 'MacL9HnwnP']","['PREMISE-RealExample', 'PREMISE-Fact', 'PREMISE-Fact', 'PREMISE-RealExample', 'PREMISE-Fact', 'PREMISE-Fact']","['950', '1104', '1153', '1510', '1574', '1716']","['1103', '1152', '1387', '1573', '1715', '1818']","[""Overall qualitatively, in terms of PaaS adoption of Azure, a lot of it comes with what's happening, for example, in the services we talk about, like IoT."", 'We now have a much higher-level managed service.', 'We even launched a new packaging of it with the IoT Central, which allows developers who are building IoT solutions, instead of assembling it themselves to be able to use this managed service to be that much more agile and productive.', 'Same thing with data, the DocumentDB is a massive thing for us.', ""It's the planet-scale database that supports JSON and much more, and we see that as a core part of the data tier for many, many applications."", 'We even see, obviously, the end-user parts of the infrastructure when it comes to enterprise mobility.']",2,2,2,1,-1,MSFT_Q3_2017_17863_ArgQ0,1.0,0,6,4,0,0,2,0,"[34, 9, 44, 14, 30, 19]","[1, 1, 1, 1, 1, 1]",1,23,2017,Q3,6,MSFT,7,173,150,6,0,1,0,0,0
20,20,6,MSFT_Q3_2017_17863_6,MSFT_Q3_2017_17863,ArgQ1,O5cwslhPCK,"So all-up, we have multiple pieces.",CLAIM-Fact,1819,1854,"['R6', 'R7']","['SUPPORT', 'SUPPORT']","['eo3Q_dE7c4', 'eRZvmB6B8_']","['PREMISE-Fact', 'PREMISE-Fact']","['1855', '2182']","['2181', '2211']","[""The other areas, course, the entire toolchain of what's happening with Visual Studio to continuous integration, to continuous deployment, and that's a place where we have a very, very differentiated solution for developers and developer productivity, which in some sense you can think of as like the Office 365 for developers."", ""But that's all part of Azure.""]",2,1,1,1,-1,MSFT_Q3_2017_17863_ArgQ1,1.0,0,2,2,0,0,0,0,"[60, 8]","[1, 1]",1,8,2017,Q3,2,MSFT,3,76,68,2,0,1,0,0,0
21,21,6,MSFT_Q3_2017_17863_6,MSFT_Q3_2017_17863,ArgQ2,_WT_wlAk6n,"But as I said earlier in response to the question, we also welcome the use of, I'll say, the most atomic building blocks of Azure, whether it just be a Linux container, Azure functions, which is very cost-efficient for developers,",CLAIM-Fact,2267,2497,['R8'],['SUPPORT'],['dvh6oeediD'],['PREMISE-Other'],['2498'],['2615'],"['because we know that over time, it may be not just PaaS services in Azure, it could be in fact a Dynamics 365 module.']",1,0,1,1,-1,MSFT_Q3_2017_17863_ArgQ2,1.0,0,1,0,0,1,0,0,[27],[1],1,48,2017,Q3,1,MSFT,2,75,27,1,0,1,0,0,0
22,22,6,MSFT_Q3_2017_17863_6,MSFT_Q3_2017_17863,ArgQ3,yIamWBmq1p,"The canonical example for me is someone who collects data, does a prediction, ultimately then has to do something about that prediction, which means some automation like field service.",CLAIM-Opinion(view),2616,2800,['R9'],['SUPPORT'],['zYtNNiqT3t'],['PREMISE-Fact'],['2801'],['2964'],"['So a lot of what is Dynamics field service is actually in our module growth we are seeing because of Azure IoT, and that relationship is not just about Azure PaaS.']",1,1,0,0,-1,MSFT_Q3_2017_17863_ArgQ3,1.0,0,1,1,0,0,0,0,[33],[1],1,33,2017,Q3,1,MSFT,2,66,33,1,1,0,0,0,0
23,23,5,AAPL_Q1_2017_20341_5,AAPL_Q1_2017_20341,ArgQ0,7ZKgaqcrXn,"When we look at it geographically, I think we see different developments.",CLAIM-Opinion(view),1657,1730,"['R0', 'R1', 'R2', 'R3', 'R4']","['SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT']","['VY8V8OcoWU', 'rrZc5DZS_5', 'I-5ULm2KtA', '4Uct_kOJsh', 'bZSoX2zwAw']","['PREMISE-Fact', 'PREMISE-Fact', 'PREMISE-RealExample', 'PREMISE-RealExample', 'PREMISE-RealExample']","['1731', '1836', '1894', '2224', '2364']","['1835', '1893', '2223', '2363', '2407']","['For example, we felt very, very good about the unit growth that we had in many markets around the world.', ""You've been quoting an overall total company growth rate."", 'But when we look at a country-specific level, there were a lot of countries, I would say the majority of the countries, where iPhone units grew strong double digits, starting here in the United States, where for example, the fact that annual upgrade programs are becoming more and more popular is proving to be a positive for us.', 'Same happened in a number of countries around the world, starting with Canada and Australia but also many places in Western Europe as well.', 'Japan grew double digits in terms of units.']",1,2,2,1,-1,AAPL_Q1_2017_20341_ArgQ0,1.0,0,5,2,0,0,3,0,"[23, 11, 65, 26, 9]","[1, 1, 1, 1, 1]",1,14,2017,Q1,5,AAPL,6,148,134,5,1,0,0,0,0
24,24,5,AAPL_Q1_2017_20341_5,AAPL_Q1_2017_20341,ArgQ1,mh38mIiQLU,"The point that I think I need to make when you think about upgrade rates, clearly, this issue of the strong dollar doesn't help us.",CLAIM-Fact,2477,2608,"['R5', 'R6']","['SUPPORT', 'SUPPORT']","['CUe2zkQGXu', 'YkOpy7MVNG']","['PREMISE-Other', 'PREMISE-Fact']","['2609', '2825']","['2824', '2924']","[""Could we sell significantly more and significantly faster from an upgrade cycle standpoint in places outside the United States, where we've been forced to increase prices by up to 20%, 30%, 40% in certain countries?"", ""And you think about the impact that this is having on local demand, obviously that doesn't help us.""]",1,2,1,1,-1,AAPL_Q1_2017_20341_ArgQ1,1.0,0,2,1,0,1,0,0,"[43, 21]","[1, 1]",1,29,2017,Q1,2,AAPL,3,93,64,2,0,1,0,0,0
25,25,5,AAPL_Q1_2017_20341_5,AAPL_Q1_2017_20341,ArgQ2,imPGmYTkv_,The 6 cycle was certainly a phenomenal cycle.,CLAIM-Fact,3222,3267,['R7'],['SUPPORT'],['KmMMMnyhqL'],['PREMISE-Fact'],['3268'],['3322'],['There was pent-up demand for the larger screen phones.'],1,1,0,0,-1,AAPL_Q1_2017_20341_ArgQ2,1.0,0,1,1,0,0,0,0,[10],[1],1,9,2017,Q1,1,AAPL,2,19,10,1,0,1,0,0,0
26,26,5,AAPL_Q1_2017_20341_5,AAPL_Q1_2017_20341,ArgQ3,wleCaxgnM_,"And certainly as we look ahead, we have a role to play.",CLAIM-Fact,3323,3378,['R8'],['SUPPORT'],['QixvCyzE1o'],['PREMISE-Fact'],['3379'],['3491'],"[""The more we're able to innovate with new generations of products, clearly that plays a role in the upgrade rate.""]",2,1,1,1,-1,AAPL_Q1_2017_20341_ArgQ3,1.0,0,1,1,0,0,0,0,[23],[1],1,14,2017,Q1,1,AAPL,2,37,23,1,0,1,0,0,0
27,27,5,AAPL_Q1_2017_20341_5,AAPL_Q1_2017_20341,ArgQ4,mUjnHbDX3A,And so you should take from our filing that we viewed it as we didn't see another way forward.,CLAIM-Fact,4190,4284,"['R9', 'R10', 'R11', 'R12', 'R13']","['ATTACK', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'SUPPORT']","['a99O95fbJ4', '7us9anoV_F', 'G6jaLSsXzc', 'JToa579dTL', 'S207RL-Tk7']","['PREMISE-Other', 'PREMISE-Fact', 'PREMISE-Fact', 'PREMISE-Other', 'PREMISE-Statistic']","['4136', '4285', '4378', '4641', '4891']","['4189', '4377', '4640', '4780', '5060']","[""I don't like litigation and view it as a last resort."", 'They were insisting on charging royalties for technologies that they had nothing to do with.', 'And so we were in a situation where the more we innovated with unique features like Touch ID or advanced displays or cameras, just to name a few, the more money Qualcomm would collect for no reason and the more expensive it would be therefore for us to innovate.', ""And so it's somewhat like buying a sofa, and you charge somebody a different price depending upon the price of the house that it goes into."", 'In addition to that, as a part of their increasingly radical steps they were taking to try to hold up that model, they withheld $1 billion in payments that they owed us.']",2,2,2,0,-1,AAPL_Q1_2017_20341_ArgQ4,1.0,1,4,2,0,2,0,1,"[13, 16, 52, 29, 36]","[1, 1, 1, 1, 1]",1,21,2017,Q1,5,AAPL,6,167,146,5,0,1,0,0,0
28,28,7,AAPL_Q4_2018_18869_7,AAPL_Q4_2018_18869,ArgQ0,QQVc6agCjg,"Katy, if you look at the products that we have created and are manufacturing, they're really manufactured everywhere.",CLAIM-Fact,400,517,"['R0', 'R1']","['SUPPORT', 'SUPPORT']","['LcOJGKHrc4', 'ZBxevnCnze']","['PREMISE-RealExample', 'PREMISE-RealExample']","['518', '568']","['567', '713']","['We have significant content from the U.S. market.', 'We have content from Japan to Korea to many countries, and we have great content from China as well, and so there are many hands in the products.']",1,2,1,1,-1,AAPL_Q4_2018_18869_ArgQ0,1.0,0,2,0,0,0,2,0,"[9, 31]","[1, 1]",1,22,2018,Q4,2,AAPL,3,62,40,2,0,1,0,0,0
29,29,7,AAPL_Q4_2018_18869_7,AAPL_Q4_2018_18869,ArgQ1,k594BF-ZSk,We are going to be getting some benefits from commodities in general and memory in particular.,CLAIM-Fact,1991,2085,['R2'],['SUPPORT'],['7hOqzKYeR3'],['PREMISE-Fact'],['2086'],['2189'],['Memory on a sequential basis is about 30 basis points favorable for us going into the December quarter.'],1,1,1,1,-1,AAPL_Q4_2018_18869_ArgQ1,1.0,0,1,1,0,0,0,0,[19],[1],1,17,2018,Q4,1,AAPL,2,36,19,1,0,1,0,0,0
30,30,8,AMZN_Q1_2016_17375_8,AMZN_Q1_2016_17375,ArgQ0,cd8ukppIYw,So we continue to build the underpinnings of the Prime program in our international countries.,CLAIM-Fact,710,804,"['R0', 'R1']","['SUPPORT', 'SUPPORT']","['t9HkW-f57a', 'SePbHl4n-W']","['PREMISE-Fact', 'PREMISE-Fact']","['364', '512']","['511', '709']","[""So, on the op margin side, although there was improvement year-over-year and, yeah, you're right, it is still on FX-neutral basic – basis negative."", ""We have, as I said earlier, selection expansion, infrastructure investments, fulfillment network and AWS – excuse me, that's not the international segment – fulfillment network and digital content.""]",1,1,1,1,-1,AMZN_Q1_2016_17375_ArgQ0,1.0,0,2,2,0,0,0,0,"[31, 35]","[1, 1]",1,16,2016,Q1,2,AMZN,3,82,66,2,0,1,0,0,0
31,31,8,AMZN_Q1_2016_17375_8,AMZN_Q1_2016_17375,ArgQ1,GKrrlIvtul,We're very excited about what we see and we will continue to invest heavily in India.,CLAIM-Opinion(view),881,966,['R2'],['SUPPORT'],['KP39NZQRvS'],['PREMISE-Fact'],['805'],['880'],"[""You also have to keep in mind that we're making large investments in India.""]",1,0,1,0,-1,AMZN_Q1_2016_17375_ArgQ1,1.0,0,1,1,0,0,0,0,[16],[1],1,18,2016,Q1,1,AMZN,2,34,16,1,1,0,0,0,0
